name, description, url
Ramsey County Adult Detention Center, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ARamsey%20County%20Adult%20Detention%20Center
Denver Contract Detention Facility, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ADenver%20Contract%20Detention%20Facility
Calhoun County Correctional Center, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ACalhoun%20County%20Correctional%20Center
Worcester County Detention Center, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AWorcester%20County%20Detention%20Center
Pulaski County Detention Center, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0APulaski%20County%20Detention%20Center
Atlanta City Detention Center, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AAtlanta%20City%20Detention%20Center
Howard County Detention Center, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AHoward%20County%20Detention%20Center
Dodge Detention Facility, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ADodge%20Detention%20Facility
Jefferson County Justice Center, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AJefferson%20County%20Justice%20Center
Utah County Jail, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AUtah%20County%20Jail
Bristol County House of Corrections, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ABristol%20County%20House%20of%20Corrections
Irwin County Detention Center, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AIrwin%20County%20Detention%20Center
Houston Contract Detention Facility, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AHouston%20Contract%20Detention%20Facility
Tacoma Northwest Detention Center, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ATacoma%20Northwest%20Detention%20Center
El Paso Processing Center, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AEl%20Paso%20Processing%20Center
Buffalo Federal Detention Facility, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ABuffalo%20Federal%20Detention%20Facility
Butler County Correctional Complex, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AButler%20County%20Correctional%20Complex
Rolling Plains Correctional Facility, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ARolling%20Plains%20Correctional%20Facility
Berks Family Residential Center, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ABerks%20Family%20Residential%20Center
Rio Cosumnes Correctional Center, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ARio%20Cosumnes%20Correctional%20Center
Port Isabel Service Processing Center, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0APort%20Isabel%20Service%20Processing%20Center
Otero County Processing Center, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AOtero%20County%20Processing%20Center
Douglas County Department of Corrections, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ADouglas%20County%20Department%20of%20Corrections
Seneca County Jail, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ASeneca%20County%20Jail
Hudson County Correctional Facility, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AHudson%20County%20Correctional%20Facility
Franklin County House of Correction, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AFranklin%20County%20House%20of%20Correction
Monmouth County Correctional Institution, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AMonmouth%20County%20Correctional%20Institution
St. Clair County Jail, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ASt.%20Clair%20County%20Jail
Carver County Jail Services, ICE detention center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ACarver%20County%20Jail%20Services
